Feature,Importance
GCS_M,0.07181200805922226
GCS_E,0.07156250223145175
MBP,0.04443398601459329
DBP,0.04159831492994152
RR,0.03832433385585668
GCS_V,0.03645134819153464
FiO2,0.028454057157838483
SBP,0.025994016286242583
SpO2,0.021016204360686852
Temp,0.012913862356988937
S11,0.011538475148986755
S9,0.010493870087248827
S10,0.00996280525290864
Height,0.009089773536972177
Age,0.007304762619807365
Gender,0.005810609277529504
S6,0.004857732055638524
S8,0.0041366989948278384
S2,0.004071604430585263
S5,0.0035173993551947985
Weight,0.003032524820890499
S3,0.002877703673024846
S7,0.0028559337368270583
S4,0.0025505396462956586
S1,0.0010386845210984277
